tradeDate,证券代码,证券简称,融资买入额(元),融资余额(元),融券卖出量(股/份),融券余量(股/份),融券余额(元),融资融券余额(元)
20260224,001914,招商积余,4384280,136532388,0,101800,1155430,137687818
20260224,001965,招商公路,2322564,210826074,0,148900,1442841,212268915
20260224,001979,招商蛇口,74152547,697877431,16700,177100,1795794,699673225
20260224,002001,新 和 成,127778482,1239420823,0,180740,5348096,1244768919
20260224,002003,伟星股份,5431866,74404844,0,72100,759213,75164057
20260224,002004,华邦健康,14341993,397175200,0,41900,230031,397405231
20260224,002006,精工科技,27754999,767698113,1300,20800,429728,768127841
20260224,002007,华兰生物,16039928,1370870493,7400,498530,7682346,1378552839
20260224,002008,大族激光,393619952,1967415501,105300,258000,15178140,1982593641
20260224,002009,天奇股份,440909461,570529862,1300,16500,591855,571121717
20260224,002010,传化智联,35091293,560087904,0,12800,86144,560174048
20260224,002011,盾安环境,20849358,534369778,0,7300,93294,534463072
20260224,002015,协鑫能科,104586074,1020008613,16900,152600,1924286,1021932899
20260224,002016,世荣兆业,10255152,176142445,5400,46900,294532,176436977
20260224,002017,东信和平,29559076,495495328,800,2800,62972,495558300
20260224,002019,亿帆医药,21781557,572713759,4200,16700,202905,572916664
20260224,002020,京新药业,8621966,516948154,0,88500,1473525,518421679
20260224,002023,海特高新,35897604,648192989,200,165300,1996824,650189813
20260224,002025,航天电器,71086008,985775981,200,16400,842632,986618613
20260224,002026,山东威达,15741800,360269554,400,1700,26418,360295972
20260224,002027,分众传媒,101237134,1720535209,57100,7969600,58018688,1778553897
20260224,002028,思源电气,110509506,956363465,18900,133700,29959496,986322961
20260224,002029,七 匹 狼,9460403,489879177,0,8000,90480,489969657
20260224,002030,达安基因,16156513,335982006,2000,176300,1121268,337103274
20260224,002031,巨轮智能,17863510,566823266,0,0,0,566823266
20260224,002032,苏 泊 尔,2563744,109896606,100,18400,825240,110721846
20260224,002033,丽江股份,22439082,213359136,0,700,6552,213365688
20260224,002034,旺能环境,6096010,145966692,0,48300,828828,146795520
20260224,002035,华帝股份,3384080,154848804,0,17400,108750,154957554
20260224,002036,联创电子,70119961,905801731,95500,251700,2793870,908595601
20260224,002037,保利联合,5782610,141553855,0,1600,15008,141568863
20260224,002038,双鹭药业,4945203,335007117,0,291066,1877376,336884493
20260224,002039,黔源电力,8092915,314571256,0,3800,65550,314636806
20260224,002041,登海种业,26344517,214940249,4500,227600,2398904,217339153
20260224,002042,华孚时尚,17479217,328358981,100,22200,99678,328458659
20260224,002043,兔 宝 宝,4688024,26536123,0,42500,688500,27224623
